Número;ID;Nome;Name;Estreia;Brilhante;Sombroso;Sombroso Brilhante;Dinamax;Dinamax Brilhante
726;0726;Torracat;Torracat;01/03/2022;16/03/2024;;;;
727;0727;Incineroar;Incineroar;01/03/2022;16/03/2024;;;;
728;0728;Popplio;Popplio;01/03/2022;31/08/2024;;;;
729;0729;Brionne;Brionne;01/03/2022;31/08/2024;;;;
730;0730;Primarina;Primarina;01/03/2022;31/08/2024;;;;
731;0731;Pikipek;Pikipek;01/03/2022;30/11/2025;11/08/2025;;;
732;0732;Trumbeak;Trumbeak;01/03/2022;30/11/2025;11/08/2025;;;
733;0733;Toucannon;Toucannon;01/03/2022;30/11/2025;11/08/2025;;;
734;0734;Yungoos;Yungoos;01/03/2022;01/03/2022;;;;
735;0735;Gumshoos;Gumshoos;01/03/2022;01/03/2022;;;;
736;0736;Grubbin;Grubbin;10/08/2022;23/09/2023;11/08/2025;;;
737;0737;Charjabug;Charjabug;10/08/2022;23/09/2023;11/08/2025;;;
737;0737-00-00-01;Charjabug Natal;Holiday attire Charjabug;18/12/2025;18/12/2025;;;;
738;0738;Vikavolt;Vikavolt;10/08/2022;23/09/2023;11/08/2025;;;
738;0738-00-00-01;Vikavolt Natal;Holiday attire Vikavolt;18/12/2025;18/12/2025;;;;
739;0739;Crabrawler;Crabrawler;06/12/2022;14/06/2024;;;;
740;0740;Crabominable;Crabominable;06/12/2022;14/06/2024;;;;
741;0741-00-01;Oricorio Animado;Pom-Pom Oricorio;15/03/2022;13/02/2024;;;;
741;0741-00-02;Oricorio Elegante;Sensu Oricorio;15/03/2022;13/02/2024;;;;
741;0741-00-03;Oricório Flamenco;Baile Oricório;15/03/2022;13/02/2024;;;;
741;0741-00-04;Oricorio Hula;Pa'u Oricorio;15/03/2022;13/02/2024;;;;
742;0742;Cutiefly;Cutiefly;04/04/2023;13/01/2024;;;;
743;0743;Ribombee;Ribombee;04/04/2023;13/01/2024;;;;
744;0744;Rockruff;Rockruff;01/03/2022;01/03/2022;;;;
744;0744-00-01;Rockruff Ritmo Próprio;Own Tempo Rockruff;06/01/2024;06/01/2024;;;;
745;0745-00-01;Lycanroc Diurna;Midday Form Lycanroc;01/03/2022;01/03/2022;;;;
745;0745-00-02;Lycanroc Noturna;Midnight Form Lycanroc;01/03/2022;01/03/2022;;;;
745;0745-00-03;Lycanroc Crepúsculo;Dusk Form Lycanroc;06/01/2024;06/01/2024;;;;
747;0747;Mareanie;Mareanie;27/09/2022;23/05/2024;;;;
748;0748;Toxapex;Toxapex;27/09/2022;23/05/2024;;;;
749;0749;Mudbray;Mudbray;29/03/2025;29/03/2025;;;;
750;0750;Mudsdale;Mudsdale;29/03/2025;29/03/2025;;;;
751;0751;Dewpider;Dewpider;12/05/2022;04/08/2023;;;;
752;0752;Araquanid;Araquanid;12/05/2022;04/08/2023;;;;
753;0753;Fomantis;Fomantis;22/03/2022;16/06/2023;;;;
754;0754;Lurantis;Lurantis;22/03/2022;16/06/2023;;;;
755;0755;Morelull;Morelull;14/10/2022;07/11/2023;;;;
756;0756;Shiinotic;Shiinotic;14/10/2022;07/11/2023;;;;
757;0757;Salandit;Salandit;03/04/2022;11/08/2025;;;;
758;0758;Salazzle;Salazzle;03/04/2022;11/08/2025;;;;
759;0759;Stufful;Stufful;23/04/2022;23/04/2022;;;;
760;0760;Bewear;Bewear;23/04/2022;23/04/2022;;;;
760;0760-00-00-01;Bewear Capa Selvagem;Wilderness cape Bewear;07/11/2025;07/11/2025;;;;
761;0761;Bounsweet;Bounsweet;20/04/2023;19/05/2024;;;13/10/2025;13/10/2025
762;0762;Steenee;Steenee;20/04/2023;19/05/2024;;;13/10/2025;13/10/2025
763;0763;Tsareena;Tsareena;20/04/2023;19/05/2024;;;13/10/2025;13/10/2025
764;0764;Comfey;Comfey;01/03/2022;;;;;
765;0765;Oranguru;Oranguru;20/04/2022;26/08/2023;;;;
766;0766;Passimian;Passimian;11/08/2023;22/09/2024;;;07/04/2025;07/04/2025
767;0767;Wimpod;Wimpod;16/06/2022;04/04/2024;;;;
768;0768;Golisopod;Golisopod;16/06/2022;04/04/2024;;;;
769;0769;Sandygast;Sandygast;06/06/2023;17/12/2024;;;;
770;0770;Palossand;Palossand;06/06/2023;17/12/2024;;;;
775;0775;Komala;Komala;15/07/2023;07/06/2024;;;;
776;0776;Turtonator;Turtonator;29/06/2023;29/06/2023;;;;
777;0777;Togedemaru;Togedemaru;16/09/2022;25/07/2024;;;;
779;0779;Bruxish;Bruxish;08/03/2023;13/03/2025;;;;
780;0780;Drampa;Drampa;05/02/2024;05/02/2024;;;05/01/2026;05/01/2026
781;0781;Dhelmise;Dhelmise;11/02/2025;06/01/2025;;;;
782;0782;Jangmo-o;Jangmo-o;01/03/2022;08/07/2024;;;;
783;0783;Hakamo-o;Hakamo-o;01/03/2022;08/07/2024;;;;
784;0784;Kommo-o;Kommo-o;01/03/2022;08/07/2024;;;;
785;0785;Tapu Koko;Tapu Koko;01/03/2022;25/01/2023;;;;
786;0786;Tapu Lele;Tapu Lele;22/03/2022;08/02/2023;;;;
787;0787;Tapu Bulu;Tapu Bulu;12/04/2022;17/04/2023;;;;
788;0788;Tapu Fini;Tapu Fini;10/05/2022;09/05/2023;;;;
789;0789;Cosmog;Cosmog;01/09/2022;;;;;
790;0790;Cosmoem;Cosmoem;05/10/2022;;;;;
791;0791;Solgaleo;Solgaleo;23/11/2022;;;;;
792;0792;Lunala;Lunala;23/11/2022;;;;;
793;0793;Nihilego;Nihilego;05/06/2022;15/06/2023;;;;
794;0794;Buzzwole;Buzzwole;22/07/2022;05/07/2024;;;;
795;0795;Pheromosa;Pheromosa;01/07/2022;13/06/2024;;;;
796;0796;Xurkitree;Xurkitree;05/08/2022;30/05/2024;;;;
797;0797;Celesteela;Celesteela;13/09/2022;04/04/2024;;;;
798;0798;Kartana;Kartana;13/09/2022;04/04/2024;;;;
799;0799;Guzzlord;Guzzlord;08/11/2022;06/10/2023;;;;
800;0800;Necrozma;Necrozma;30/05/2024;30/05/2024;;;;
800;0800-00-01;Necrozma Asas Alvorada;Dawn Wings Necrozma;30/05/2024;30/05/2024;;;;
800;0800-00-02;Necrozma Juba Crepúsculo;Dusk Mane Necrozma;30/05/2024;30/05/2024;;;;
802;0802;Marshadow;Marshadow;30/05/2024;;;;;
803;0803;Poipole;Poipole;01/03/2024;;;;;
804;0804;Naganadel;Naganadel;23/05/2024;;;;;
805;0805;Stakataka;Stakataka;23/05/2024;09/04/2025;;;;
806;0806;Blacephalon;Blacephalon;23/05/2024;09/04/2025;;;;
807;0807;Zeraora;Zeraora;29/05/2026;;;;;
808;0808;Meltan;Meltan;14/11/2018;05/02/2019;;;;
809;0809;Melmetal;Melmetal;14/11/2018;05/02/2019;;;;
810;0810;Grookey;Grookey;03/09/2024;18/01/2026;;;01/10/2024;18/01/2026
811;0811;Thwackey;Thwackey;03/09/2024;18/01/2026;;;01/10/2024;18/01/2026
812;0812;Rillaboom;Rillaboom;03/09/2024;18/01/2026;;;01/10/2024;18/01/2026
812;0812G;Rillaboom Gigamax;Gigantamax Rillaboom;29/05/2025;;;;;
813;0813;Scorbunny;Scorbunny;03/09/2024;14/03/2026;;;01/10/2024;
814;0814;Raboot;Raboot;03/09/2024;14/03/2026;;;01/10/2024;
815;0815;Cinderace;Cinderace;03/09/2024;14/03/2026;;;01/10/2024;
815;0815G;Cinderace Gigamax;Gigantamax Cinderace;05/06/2025;;;;;
816;0816;Sobble;Sobble;03/09/2024;;;;01/10/2024;
817;0817;Drizzile;Drizzile;03/09/2024;;;;01/10/2024;
818;0818;Inteleon;Inteleon;03/09/2024;;;;01/10/2024;
818;0818G;Inteleon Gigamax;Gigantamax Inteleon;12/06/2025;;;;;
819;0819;Skwovet;Skwovet;20/08/2021;03/09/2024;;;04/09/2024;04/09/2024
820;0820;Greedent;Greedent;20/08/2021;03/09/2024;;;04/09/2024;04/09/2024
821;0821;Rookidee;Rookidee;21/01/2025;22/07/2025;;;26/05/2025;22/07/2025
822;0822;Corvisquire;Corvisquire;21/01/2025;22/07/2025;;;26/05/2025;22/07/2025
823;0823;Corviknight;Corviknight;21/01/2025;22/07/2025;;;26/05/2025;22/07/2025
824;0824;Blipbug;Blipbug;17/03/2026;;;;;
825;0825;Dottler;Dottler;17/03/2026;;;;;
826;0826;Orbeetle;Orbeetle;17/03/2026;;;;;
827;0827;Nickit;Nickit;19/03/2025;;;;;
828;0828;Thievul;Thievul;19/03/2025;;;;;
829;0829;Gossifleur;Gossifleur;09/04/2025;;;;;
830;0830;Eldegoss;Eldegoss;09/04/2025;;;;;
831;0831;Wooloo;Wooloo;20/08/2021;03/09/2024;;;04/09/2024;04/09/2024
831;0831-00-00-01;Wooloo Natal;Holiday Wooloo;22/12/2024;22/12/2024;;;;
832;0832;Dubwool;Dubwool;20/08/2021;03/09/2024;;;04/09/2024;04/09/2024
832;0832-00-00-01;Dubwool Natal;Holiday Dubwool;22/12/2024;22/12/2024;;;;
835;0835;Yamper;Yamper;20/06/2025;;;;;
836;0836;Boltund;Boltund;20/06/2025;;;;;
837;0837;Rolycoly;Rolycoly;24/12/2025;;;;;
838;0838;Carkol;Carkol;24/12/2025;;;;;
839;0839;Coalossal;Coalossal;24/12/2025;;;;;
840;0840;Applin;Applin;24/04/2025;;;;;
841;0841;Flapple;Flapple;24/04/2025;;;;;
842;0842;Appletun;Appletun;24/04/2025;;;;;
848;0848;Toxel;Toxel;16/11/2024;16/11/2024;;;;
849;0849-00-01;Toxtricity Aguda;Amped Toxtricity;16/11/2024;16/11/2024;;;16/11/2024;16/11/2024
849;0849-00-02;Toxtricity Grave;Low Key Toxtricity;16/11/2024;16/11/2024;;;16/11/2024;16/11/2024
849;0849G;Toxtricity Gigamax;Gigantamax Toxtricity;16/11/2024;16/11/2024;;;;
850;0850;Sizzlipede;Sizzlipede;26/03/2025;17/03/2026;;;;
851;0851;Centiskorch;Centiskorch;26/03/2025;17/03/2026;;;;
852;0852;Clobbopus;Clobbopus;13/12/2025;;;;;
853;0853;Grapploct;Grapploct;13/12/2025;;;;;
854;0854-00-01;Sinistea Autêntica;Antique Sinistea;03/12/2024;21/10/2025;;;;
854;0854-00-02;Sinistea Falsificada;Phony Sinistea;03/12/2024;21/10/2025;;;;
855;0855-00-01;Polteageist Autêntica;Antique Polteageist;03/12/2024;21/10/2025;;;;
855;0855-00-02;Polteageist Falsificada;Phony Polteageist;03/12/2024;21/10/2025;;;;
856;0856;Hatenna;Hatenna;18/09/2024;07/11/2025;;;16/06/2025;07/11/2025
857;0857;Hattrem;Hattrem;18/09/2024;07/11/2025;;;16/06/2025;07/11/2025
858;0858;Hatterene;Hatterene;18/09/2024;07/11/2025;;;16/06/2025;07/11/2025
859;0859;Impidimp;Impidimp;07/11/2025;07/11/2025;;;;
860;0860;Morgrem;Morgrem;07/11/2025;07/11/2025;;;;
861;0861;Grimmsnarl;Grimmsnarl;07/11/2025;07/11/2025;;;;
861;0861G;Grimmsnarl Gigamax;Gigantamax Grimmsnarl;07/11/2025;07/11/2025;;;;
862;0862;Obstagoon;Obstagoon;03/06/2020;25/05/2021;08/10/2024;08/10/2024;;
863;0863;Perrserker;Perrserker;03/06/2020;20/08/2021;;;;
864;0864;Cursola;Cursola;27/11/2024;27/11/2024;;;;
865;0865;Sirfetch'd;Sirfetch'd;22/10/2020;20/08/2021;;;;
866;0866;Mr. Rime;Mr. Rime;19/12/2020;01/12/2022;;;;
867;0867;Runerigus;Runerigus;23/10/2020;20/10/2022;;;;
870;0870;Falinks;Falinks;20/08/2021;08/09/2024;;;01/10/2024;01/10/2024
870;0870-00-00-01;Falinks Locomotiva;In train-ing Falinks;29/05/2025;29/05/2025;;;;
872;0872;Snom;Snom;06/08/2025;;;;;
873;0873;Frosmoth;Frosmoth;06/08/2025;;;;;
874;0874;Stonjourner;Stonjourner;03/09/2024;;;;;
876;0876;Indeedee;Indeedee;16/09/2025;16/09/2025;;;;
877;0877-00-01;Morpeko Forma Saciada;Hangry Mode Morpeko;22/10/2024;18/11/2025;;;;
877;0877-00-02;Morpeko Forma Voraz;Full Belly Mode Morpeko;22/10/2024;18/11/2025;;;;
884;0884;Duraludon;Duraludon;30/09/2025;30/09/2025;;;30/09/2025;30/09/2025
885;0885;Dreepy;Dreepy;03/09/2024;;;;;
886;0886;Drakloak;Drakloak;03/09/2024;;;;;
887;0887;Dragapult;Dragapult;03/09/2024;;;;;
888;0888;Zacian Herói Veterano;Hero of Many Battles Zacian;20/08/2021;26/09/2024;;;;
888;0888-00-01;Zacian Espada Coroada;Crowned Sword Zacian;29/05/2025;29/05/2025;;;;
889;0889;Zamazenta Herói Veterano;Hero of Many Battles Zamazenta;26/08/2021;04/10/2024;;;;
889;0889-00-01;Zamazenta Escudo Coroado;Crowned Shield Zamazenta;29/05/2025;29/05/2025;;;;
890;0890;Eternatus;Eternatus;17/08/2025;;;;;
891;0891;Kubfu;Kubfu;05/03/2025;;;;05/03/2025;
892;0892-00-01;Urshifu Golpe Fluido;Rapid Strike Urshifu;21/05/2025;;;;21/05/2025;
892;0892-00-02;Urshifu Golpe decisivo;Single Strike Urshifu;21/05/2025;;;;21/05/2025;
893;0893;Zarude;Zarude;01/10/2021;;;;;
894;0894;Regieleki;Regieleki;09/04/2023;27/11/2024;;;;
895;0895;Regidrago;Regidrago;11/03/2023;27/11/2024;;;;
899;0899;Wyrdeer;Wyrdeer;23/12/2023;23/12/2023;;;;
900;0900;Kleavor;Kleavor;06/05/2023;06/05/2023;;;;
901;0901;Ursaluna;Ursaluna;12/11/2022;12/11/2022;12/11/2022;12/11/2022;;
901;0901-00-00-01;Ursaluna Chapéu de bruxa;Witch hat Ursaluna;27/10/2025;27/10/2025;;;;
903;0903;Sneasler;Sneasler;27/07/2022;05/12/2023;26/10/2023;;;
904;0904;Overqwill;Overqwill;27/07/2022;17/02/2024;;;;
905;0905-00-01;Enamorus Materializada;Incarnate Forme Enamorus;14/02/2024;;;;;
905;0905-00-02;Enamorus Therian;Therian Forme Enamorus;14/02/2026;;;;;
906;0906;Sprigatito;Sprigatito;05/09/2023;05/01/2025;;;;
907;0907;Floragato;Floragato;05/09/2023;05/01/2025;;;;
907;0907-00-00-01;Floragato Chapéu da Liko;Hat with Liko's pin Floragato;16/04/2025;16/04/2025;;;;
908;0908;Meowscarada;Meowscarada;05/09/2023;05/01/2025;;;;
909;0909;Fuecoco;Fuecoco;05/09/2023;08/03/2025;;;;
910;0910;Crocalor;Crocalor;05/09/2023;08/03/2025;;;;
911;0911;Skeledirge;Skeledirge;05/09/2023;08/03/2025;;;;
912;0912;Quaxly;Quaxly;05/09/2023;20/07/2025;;;;
913;0913;Quaxwell;Quaxwell;05/09/2023;20/07/2025;;;;
914;0914;Quaquaval;Quaquaval;05/09/2023;20/07/2025;;;;
915;0915;Lechonk;Lechonk;05/09/2023;05/09/2023;;;;
916;0916;Oinkologne;Oinkologne;05/09/2023;05/09/2023;;;;
917;0917;Tarountula;Tarountula;04/11/2025;;;;;
918;0918;Spidops;Spidops;04/11/2025;;;;;
919;0919;Nymble;Nymble;10/09/2023;05/02/2025;;;;
920;0920;Lokix;Lokix;10/09/2023;05/02/2025;;;;
921;0921;Pawmi;Pawmi;10/09/2023;11/05/2025;;;;
922;0922;Pawmo;Pawmo;10/09/2023;11/05/2025;;;;
923;0923;Pawmot;Pawmot;10/09/2023;11/05/2025;;;;
924;0924;Tandemaus;Tandemaus;17/07/2024;06/08/2025;;;;
925;0925-00-01;Maushold Família Quádrupla;Family of Four Maushold;17/07/2024;06/08/2025;;;;
925;0925-00-02;Maushold Família Tripla;Family of Three Maushold;17/07/2024;06/08/2025;;;;
926;0926;Fidough;Fidough;04/01/2025;20/01/2026;;;;
927;0927;Dachsbun;Dachsbun;04/01/2025;20/01/2026;;;;
928;0928;Smoliv;Smoliv;12/10/2023;07/11/2024;;;;
929;0929;Dolliv;Dolliv;12/10/2023;07/11/2024;;;;
930;0930;Arboliva;Arboliva;12/10/2023;07/11/2024;;;;
932;0932;Nacli;Nacli;02/12/2025;;;;;
933;0933;Naclstack;Naclstack;02/12/2025;;;;;
934;0934;Garganacl;Garganacl;02/12/2025;;;;;
935;0935;Charcadet;Charcadet;05/03/2024;05/03/2025;;;;
936;0936;Armarouge;Armarouge;05/03/2024;05/03/2025;;;;
937;0937;Ceruledge;Ceruledge;05/03/2024;05/03/2025;;;;
938;0938;Tadbulb;Tadbulb;07/11/2023;13/01/2026;;;;
939;0939;Bellibolt;Bellibolt;07/11/2023;13/01/2026;;;;
940;0940;Wattrel;Wattrel;14/01/2026;;;;;
941;0941;Kilowattrel;Kilowattrel;14/01/2026;;;;;
944;0944;Shroodle;Shroodle;15/01/2025;;;;;
945;0945;Grafaiai;Grafaiai;15/01/2025;;;;;
948;0948;Toedscool;Toedscool;29/07/2025;;;;;
949;0949;Toedscruel;Toedscruel;29/07/2025;;;;;
950;0950;Klawf;Klawf;06/01/2026;;;;;
957;0957;Tinkatink;Tinkatink;16/04/2025;07/11/2025;;;;
958;0958;Tinkatuff;Tinkatuff;16/04/2025;07/11/2025;;;;
959;0959;Tinkaton;Tinkaton;16/04/2025;07/11/2025;;;;
960;0960;Wiglett;Wiglett;22/04/2024;29/07/2025;;;;
961;0961;Wugtrio;Wugtrio;22/04/2024;29/07/2025;;;;
962;0962;Bombirdier;Bombirdier;10/09/2023;10/09/2023;;;;
965;0965;Varoom;Varoom;27/01/2024;;;;;
966;0966;Revavroom;Revavroom;27/01/2024;;;;;
969;0969;Glimmet;Glimmet;27/01/2026;;;;;
970;0970;Glimmora;Glimmora;27/01/2026;;;;;
971;0971;Greavard;Greavard;19/10/2023;;;;;
972;0972;Houndstone;Houndstone;19/10/2023;;;;;
973;0973;Flamigo;Flamigo;03/02/2026;;;;;
974;0974;Cetoddle;Cetoddle;18/12/2023;22/12/2024;;;;
975;0975;Cetitan;Cetitan;18/12/2023;22/12/2024;;;;
977;0977;Dondozo;Dondozo;25/08/2025;25/08/2025;;;;
978;0978-00-01;Tatsugiri Estendida;Stretchy Form Tatsugiri;15/07/2025;;;;;
978;0978-00-02;Tatsugiri Curvada;Curly Form Tatsugiri;15/07/2025;;;;;
978;0978-00-03;Tatsugiri Pendular;Droopy Form Tatsugiri;15/07/2025;;;;;
979;0979;Annihilape;Annihilape;19/01/2024;19/01/2024;08/10/2024;03/03/2026;;
980;0980;Clodsire;Clodsire;05/11/2023;05/11/2023;;;;
982;0982-00-01;Dudunsparce Dois segmentos;Two-Segment Form Dudunsparce;23/09/2025;23/09/2025;;;;
982;0982-00-02;Dudunsparce Três segmentos;Three-Segment Form Dudunsparce;23/09/2025;23/09/2025;;;;
983;0983;Kingambit;Kingambit;10/05/2025;10/05/2025;;;;
996;0996;Frigibax;Frigibax;10/09/2023;29/05/2025;;;;
997;0997;Arctibax;Arctibax;10/09/2023;29/05/2025;;;;
998;0998;Baxcalibur;Baxcalibur;10/09/2023;29/05/2025;;;;
999;0999-00-01;Gimmighoul Itinerante;Roaming Form Gimmighoul;27/02/2023;01/07/2025;;;;
999;0999-00-01-01;Gimmighoul Itinerante Aniversário;9th anniversary coin Roaming Form Gimmighoul;01/07/2025;01/07/2025;;;;
1000;1000;Gholdengo;Gholdengo;27/02/2023;01/07/2025;;;;
1011;1011;Dipplin;Dipplin;10/10/2025;;;;;
1012;1012-00-01;Poltchageist Artesã;Artisan Poltchageist;21/10/2025;;;;;
1012;1012-00-02;Poltchageist Falsa;Counterfeit Poltchageist;21/10/2025;;;;;
1013;1013-00-01;Sinistcha Primorosa;Masterpiece Sinistcha;21/10/2025;;;;;
1013;1013-00-02;Sinistcha Medíocre;Unremarkable Sinistcha;21/10/2025;;;;;
1019;1019;Hydrapple;Hydrapple;10/10/2025;;;;;
