Tipo de evento;Event type;Nome;Name;Data;ImageName
Marco do jogo;Game milestone;Estreia do sistema de amizade;Friend feature debut;22/06/2018;Icon_Friendship_Trade
Marco do jogo;Game milestone;Nível máximo aumentado para 50;Level cap increased to 50;02/12/2020;Pokémon_GO_logo
Marco do jogo;Game milestone;Nível máximo aumentado para 80;Level cap increased to 80;15/10/2025;Pokémon_GO_logo
Marco do jogo;Game milestone;Lançamento do Pokémon Companheiro;Buddy Pokémon launch;13/08/2016;Pokémon_GO_logo
Marco do jogo;Game milestone;Primeiros eventos Zona de Safári, Europa;First Safari Zone events, Europe;07/10/2017;Pokémon_GO_logo
Marco do jogo;Game milestone;Lançamento da Liga de Batalhas GO;GO Battle League launch;29/01/2020;BattleIconColor
Marco do jogo;Game milestone;Lançamento das batalhas de treinadores;Trainer battle launch;12/12/2018;BattleIconColor
Marco do jogo;Game milestone;Lançamento das batalhas Dinamax;Dynamax battles launch;04/09/2024;Raid_Emblem
Marco do jogo;Game milestone;Lançamento das batalhas Gigamax;Gigantamax battles launch;26/10/2024;Raid_Emblem
Marco do jogo;Game milestone;Introdução do Passe de Reide a Distância;Remote Raid Pass introduced;27/04/2020;Raid_Emblem
Marco do jogo;Game milestone;Estreia do sistema de Megaevolução;Megaevolution system debut;27/08/2020;Raid_Emblem
Marco do jogo;Game milestone;Estreia das Supermegarreides;Super Mega Raids debut;20/02/2026;Raid_Emblem
Marco do jogo;Game milestone;Primeiro Pokémon Brilhante lançado;First Shiny Pokémon released;22/03/2017;Pokémon_GO_logo
